model,mode,M,N,experiment_id,RMSE,MAE,R2
xgboost,global,60,15,20260306_193313,12.30567455291748,8.299420356750488,0.9798353910446167
xgboost,global,60,135,20260308_215723,49.536529541015625,36.9386100769043,0.6700897216796875
xgboost,global,60,150,20260309_012742,54.36888122558594,40.17494201660156,0.6021132469177246
xgboost,global,60,165,20260309_050017,56.33861541748047,42.19124984741211,0.5725432634353638
xgboost,global,60,180,20260309_083248,58.73921203613281,44.344383239746094,0.5348453521728516
xgboost,global,60,30,20260309_211334,18.85959815979004,13.073819160461426,0.9526132345199585
xgboost,global,60,45,20260310_001037,24.053955078125,17.379716873168945,0.9228373169898987
xgboost,global,60,60,20260310_030959,30.58395767211914,22.084009170532227,0.8751387000083923
xgboost,global,60,105,20260310_060931,42.09667205810547,31.496559143066406,0.7626792192459106
xgboost,global,60,120,20260310_091047,45.95740509033203,34.173404693603516,0.7166552543640137
