model,M,N,label,RMSE,MAE,R2,NRMSE
lightgbm,60,15,全局模型预测,12.37317431557944,8.414222096613145,0.9796135394036364,
lightgbm,60,15,分层净功率（扣线损）,14.08216352509137,9.836646870058257,0.9735930443782256,
lightgbm,60,30,全局模型预测,32.70190880842572,20.837319130103776,0.7981996981040655,0.3835330714271365
lightgbm,60,30,分层净功率（扣线损）,32.05551258497633,21.24367349665327,0.8060985498535302,0.3759520360083547
lightgbm,60,45,全局模型预测,39.08206324134965,25.650851267683837,0.7088997157669235,0.4599877860878237
lightgbm,60,45,分层净功率（扣线损）,37.85784503443603,25.61222018381432,0.7268511090462744,0.4455789914648521
lightgbm,60,60,全局模型预测,44.00809323116387,29.04176913999044,0.6267568051509153,0.5197954958794226
lightgbm,60,60,分层净功率（扣线损）,42.182871238240885,29.108545484385967,0.6570750619952119,0.4982371391944847
lightgbm,60,75,全局模型预测,47.16834334316599,31.558309781322446,0.5633176857638442,0.5605445406385224
lightgbm,60,75,分层净功率（扣线损）,45.15366733103576,31.61694472616314,0.5998245748911428,0.5366023039663792
lightgbm,60,90,全局模型预测,50.32437117494932,34.35598817398558,0.4954114723828908,0.6009011152196583
lightgbm,60,90,分层净功率（扣线损）,47.48838522937944,33.83088863464981,0.5506802972017935,0.567037858160452
lightgbm,60,105,全局模型预测,51.707745564135,35.9234527296371,0.463723107707943,0.6182189057081611
lightgbm,60,105,分层净功率（扣线损）,49.51316677821782,35.733263569341474,0.5082784004974221,0.5919804750684563
lightgbm,60,120,全局模型预测,52.8628251094212,37.57376070550941,0.4404213165067889,0.6313023112761883
lightgbm,60,120,分层净功率（扣线损）,51.21211691268061,37.51169697434044,0.4748227792779488,0.6115891026520213
lightgbm,60,135,全局模型预测,49.64436101560532,37.09192810951938,0.6686519353441457,
lightgbm,60,135,分层净功率（扣线损）,43.38165856123096,33.946842727201485,0.7469788112960825,
lightgbm,60,150,全局模型预测,53.78094378699073,39.97898838808396,0.6106721196492126,
lightgbm,60,150,分层净功率（扣线损）,45.85053383836068,36.218119466739886,0.7170253966507818,
lightgbm,60,165,全局模型预测,56.29640597358888,42.15090474504759,0.5731834835060157,
lightgbm,60,165,分层净功率（扣线损）,48.14813350690922,38.27590507067411,0.6877957653982975,
lightgbm,60,180,全局模型预测,59.60612255311512,44.69194752413469,0.5210139649835133,
lightgbm,60,180,分层净功率（扣线损）,50.57765853940258,40.47248217532473,0.6551275129233274,
lstm,60,30,全局模型预测,33.67643565087714,20.582684326063237,0.7859930667839266,0.3949624737676286
lstm,60,30,分层净功率（扣线损）,80.76610130357068,62.06743482593907,-0.2309313822866656,0.9472373946615787
lstm,60,45,全局模型预测,39.20059476401386,25.67238907348805,0.7071312889590283,0.4613828775484569
lstm,60,45,分层净功率（扣线损）,80.16766044068893,61.37533697469652,-0.2248589570499632,0.9435567517054008
lstm,60,60,全局模型预测,46.933122629346,30.83397987033636,0.5754921800326438,0.5543440753532841
lstm,60,60,分层净功率（扣线损）,80.04248251500954,61.58269716253926,-0.2347183251875197,0.9454106923416246
lstm,60,75,全局模型预测,45.88051486859427,31.671049374427167,0.5868374751621925,0.5452400976682011
lstm,60,75,分层净功率（扣线损）,79.82573727532373,62.01246045914844,-0.2506916021735055,0.9486422049336346
lstm,60,90,全局模型预测,49.02198309571775,34.42848367012223,0.5211908842528117,0.5853498737239949
lstm,60,90,分层净功率（扣线损）,79.08882943521955,61.21831780230142,-0.2462665936259065,0.9443648216452578
lstm,60,105,全局模型预测,49.77405765816345,34.900815655736935,0.5030828670441524,0.5950996919778296
lstm,60,105,分层净功率（扣线损）,78.99054457428258,61.36615445639165,-0.2514920456021909,0.9444126309362066
lstm,60,120,全局模型预测,50.24872087309917,35.97349160609046,0.494396064500329,0.6000839637343947
lstm,60,120,分层净功率（扣线损）,79.13113769710064,61.311988340076354,-0.2538778875363072,0.9450056825130004
