model,mode,M,N,experiment_id,RMSE,MAE,R2
lightgbm,global,60,15,20260306_160445,12.373174342134648,8.414222111006223,0.9796135393181368
lightgbm,global,60,30,20260307_163631,18.93036737852552,13.13715848270377,0.9522569404908524
lightgbm,global,60,135,20260307_202133,49.64436101412681,37.09192812674487,0.6686519354294389
lightgbm,global,60,150,20260308_000522,53.78094379006826,39.97898839557338,0.610672119673011
lightgbm,global,60,165,20260308_025916,56.29640597690118,42.150904748753625,0.5731834835314666
lightgbm,global,60,180,20260308_055237,59.60612255832447,44.69194753199417,0.5210139650085421
mlp,global,60,15,20260310_203809,15.8774995803833,10.364957809448242,0.9662321209907532
mlp,global,60,30,20260310_203809,24.618608474731445,16.399686813354492,0.918804168701172
mlp,global,60,45,20260310_203809,32.05897903442383,22.17838287353516,0.8622328042984009
mlp,global,60,60,20260310_203809,36.35710525512695,25.37891387939453,0.8226595520973206
mlp,global,60,75,20260310_203809,42.67599868774414,29.81789779663086,0.755513072013855
mlp,global,60,90,20260310_203809,48.18508529663086,34.380455017089844,0.6879546642303467
mlp,global,60,105,20260310_203745,55.60467147827149,39.75836563110352,0.5837901830673218
mlp,global,60,120,20260310_203745,60.9289436340332,43.096168518066406,0.4995080232620239
mlp,global,60,135,20260310_203745,61.35113525390625,44.92797088623047,0.4914933443069458
mlp,global,60,150,20260310_203745,65.52462005615234,47.99908828735352,0.4192935228347778
mlp,global,60,165,20260310_203745,65.90908813476562,48.854400634765625,0.4120885729789734
mlp,global,60,180,20260310_203745,71.96317291259766,52.10303115844727,0.2984833121299743
random_forest,global,60,15,20260306_222448,12.874236636969952,8.73089380684324,0.9779289728875624
random_forest,global,60,135,20260309_102236,49.59863811410844,37.20817632894431,0.6692620034164605
random_forest,global,60,150,20260309_205230,56.65485303288724,41.42134672908477,0.5679511024662086
ridge,global,60,15,20260308_220939,12.29809284210205,8.452303886413574,0.9798601865768432
ridge,global,60,30,20260309_013605,18.63774871826172,13.134342193603516,0.953721523284912
ridge,global,60,45,20260309_050409,23.16008949279785,16.884973526000977,0.9284656047821044
ridge,global,60,60,20260309_083221,27.206165313720703,20.32393264770508,0.9011958837509156
ridge,global,60,75,20260309_122530,30.74470329284668,23.398193359375,0.8737607598304749
ridge,global,60,90,20260311_090855,33.45201110839844,25.70749855041504,0.8496038317680359
ridge,global,60,105,20260311_090855,36.35100173950195,28.195201873779297,0.8221218585968018
ridge,global,60,120,20260311_090855,39.069583892822266,30.44721794128418,0.7942085266113281
ridge,global,60,135,20260311_090855,41.68404769897461,32.77049255371094,0.7652578353881836
ridge,global,60,150,20260311_090855,44.170406341552734,35.01398086547852,0.7361176013946533
ridge,global,60,165,20260311_090855,46.59608840942383,37.21002197265625,0.7061536908149719
ridge,global,60,180,20260311_090855,48.935577392578125,39.31708526611328,0.6756104230880737
xgboost,global,60,15,20260306_193313,12.30567455291748,8.299420356750488,0.9798353910446168
xgboost,global,60,30,20260309_211334,18.85959815979004,13.073819160461426,0.9526132345199584
xgboost,global,60,45,20260310_001037,24.053955078125,17.379716873168945,0.9228373169898988
xgboost,global,60,60,20260310_030959,30.58395767211914,22.084009170532227,0.8751387000083923
xgboost,global,60,105,20260310_060931,42.09667205810547,31.496559143066406,0.7626792192459106
xgboost,global,60,120,20260310_091047,45.95740509033203,34.17340469360352,0.7166552543640137
xgboost,global,60,135,20260308_215723,49.536529541015625,36.9386100769043,0.6700897216796875
xgboost,global,60,150,20260309_012742,54.36888122558594,40.17494201660156,0.6021132469177246
xgboost,global,60,165,20260309_050017,56.33861541748047,42.19124984741211,0.5725432634353638
xgboost,global,60,180,20260310_122735,58.73921203613281,44.344383239746094,0.5348453521728516
